"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-category.ts", "TypeScript", 0, 0, 14, 0, 0, 5, 10, 29
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-product.dto.ts", "TypeScript", 0, 0, 24, 0, 0, 5, 13, 42
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-unit.dto.ts", "TypeScript", 0, 0, 14, 0, 0, 5, 8, 27
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\udpate-unit.dto.ts", "TypeScript", 0, 0, 34, 0, 0, 7, 10, 51
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\update-category.dto.ts", "TypeScript", 0, 0, 28, 0, 0, 4, 9, 41
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\update-product.dto.ts", "TypeScript", 0, 0, 33, 0, 0, 3, 10, 46
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\shared\pagination.dto.ts", "TypeScript", 0, 0, 14, 0, 0, 5, 8, 27
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\customers\citiy.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\customers\customer.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\customers\neighborhood.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\products\category.entity.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\products\product.entity.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\products\unit.entity.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\entities\user.entity.ts", "TypeScript", 0, 0, 10, 0, 0, 3, 4, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\errors\custom.error.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 8, 35
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\auth.repository.ts", "TypeScript", 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\customers\city.repository.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 1, 14
