"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\adapters\nodemailer.adapter.ts", "TypeScript", 75, 15, 13, 103
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\adapters\telegram-notification.adapter.ts", "TypeScript", 89, 2, 16, 107
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\adapters\telegram.adapter.ts", "TypeScript", 67, 1, 12, 80
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\adapters\transformers.adapter.ts", "TypeScript", 63, 1, 13, 77
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\adapters\winston-logger.adapter.ts", "TypeScript", 29, 3, 8, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\auth.mongo.datasource.impl.ts", "TypeScript", 135, 13, 19, 167
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\cart\cart.mongo.datasource.impl.ts", "TypeScript", 181, 16, 32, 229
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\chatbot\chat.mongo.datasource.impl.ts", "TypeScript", 458, 53, 91, 602
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\coupon\coupon.mongo.datasource.impl.ts", "TypeScript", 131, 10, 16, 157
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\customers\city.mongo.datasource.impl.ts", "TypeScript", 97, 5, 17, 119
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\customers\customer.mongo.datasource.impl.ts", "TypeScript", 370, 16, 28, 414
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\customers\neighborhood.mongo.datasource.impl.ts", "TypeScript", 126, 7, 26, 159
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\mcp\mcp.datasource.impl.ts", "TypeScript", 353, 4, 35, 392
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\order\order-status.mongo.datasource.impl.ts", "TypeScript", 162, 7, 41, 210
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\order\order.mongo.datasource.impl.ts", "TypeScript", 499, 35, 71, 605
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\payment\payment-method.mongo.datasource.impl.ts", "TypeScript", 145, 6, 34, 185
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\payment\payment.mongo.datasource.impl.ts", "TypeScript", 343, 22, 43, 408
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\products\category.mongo.datasource.impl.ts", "TypeScript", 88, 22, 54, 164
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\products\product.mongo.datasource.impl.ts", "TypeScript", 263, 17, 25, 305
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\products\tag.mongo.datasource.impl.ts", "TypeScript", 104, 6, 13, 123
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\products\unit.mongo.datasource.impl.ts", "TypeScript", 95, 24, 52, 171
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\datasources\sales\sale.mongo.datasource.impl.ts", "TypeScript", 254, 10, 32, 296
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\cart\cart-item.mapper.ts", "TypeScript", 74, 20, 10, 104
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\cart\cart.mapper.ts", "TypeScript", 54, 7, 7, 68
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\coupon\coupon.mapper.ts", "TypeScript", 33, 2, 5, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\customers\address.mapper.ts", "TypeScript", 73, 2, 7, 82
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\customers\city.mapper.ts", "TypeScript", 25, 3, 6, 34
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\customers\customer.mapper.ts", "TypeScript", 55, 10, 10, 75
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\customers\neighborhood.mapper.ts", "TypeScript", 32, 4, 7, 43
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\order\order-status.mapper.ts", "TypeScript", 19, 1, 3, 23
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\order\order.mapper.ts", "TypeScript", 141, 8, 7, 156
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\payment\payment-method.mapper.ts", "TypeScript", 49, 1, 5, 55
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\payment\payment.mapper.ts", "TypeScript", 127, 6, 8, 141
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\products\category.mapper.ts", "TypeScript", 17, 7, 7, 31
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\products\product.mapper.ts", "TypeScript", 72, 13, 11, 96
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\products\tag.mapper.ts", "TypeScript", 17, 1, 3, 21
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\products\unit.mapper.ts", "TypeScript", 17, 7, 5, 29
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\sales\sale.mapper.ts", "TypeScript", 100, 11, 11, 122
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\mappers\user.mapper.ts", "TypeScript", 19, 4, 5, 28
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\notifications\email.channel.ts", "TypeScript", 64, 1, 9, 74
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\notifications\telegram.channel.ts", "TypeScript", 24, 1, 8, 33
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\auth.repository.impl.ts", "TypeScript", 29, 3, 9, 41
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\cart\cart.repository.impl.ts", "TypeScript", 25, 0, 7, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\chatbot\chat.repository.impl.ts", "TypeScript", 30, 1, 8, 39
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\coupon\coupon.repository.impl.ts", "TypeScript", 32, 1, 9, 42
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\customers\city.repository.impl.ts", "TypeScript", 30, 1, 9, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\customers\customer.repository.impl.ts", "TypeScript", 54, 4, 4, 62
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\customers\neighborhood.repository.impl.ts", "TypeScript", 33, 1, 10, 44
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\mcp\mcp.repository.impl.ts", "TypeScript", 16, 1, 4, 21
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\order\order-status.repository.impl.ts", "TypeScript", 35, 1, 10, 46
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\order\order.repository.impl.ts", "TypeScript", 53, 9, 10, 72
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\payment\payment-method.repository.impl.ts", "TypeScript", 30, 1, 11, 42
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\payment\payment.repository.impl.ts", "TypeScript", 51, 1, 16, 68
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\products\category.respository.impl.ts", "TypeScript", 32, 0, 13, 45
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\products\product.repository.impl.ts", "TypeScript", 40, 3, 4, 47
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\products\tag.repository.impl.ts", "TypeScript", 27, 1, 2, 30
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\products\unit.repository.impl.ts", "TypeScript", 30, 0, 9, 39
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\repositories\sales\sale.repository.impl.ts", "TypeScript", 31, 1, 8, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\services\notification.service.impl.ts", "TypeScript", 64, 1, 7, 72
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\infrastructure\services\notification.service.ts", "TypeScript", 82, 2, 11, 95
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\coupons\routes.admin.coupon.ts", "TypeScript", 18, 3, 4, 25
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\customers\routes.admin.city.ts", "TypeScript", 19, 3, 4, 26
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\customers\routes.admin.customer.ts", "TypeScript", 24, 3, 4, 31
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\customers\routes.admin.neighborhood.ts", "TypeScript", 23, 3, 4, 30
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\orders\routes.admin.order.ts", "TypeScript", 62, 3, 5, 70
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\products\routes.admin.category.ts", "TypeScript", 18, 1, 3, 22
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\products\routes.admin.product.ts", "TypeScript", 30, 3, 5, 38
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\products\routes.admin.unit.ts", "TypeScript", 18, 3, 4, 25
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\routes.admin.ts", "TypeScript", 30, 3, 4, 37
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\tags\routes.admin.tag.ts", "TypeScript", 18, 3, 4, 25
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\admin\users\routes.admin.user.ts", "TypeScript", 23, 3, 5, 31
