Date : 2025-02-26 13:50:39
Directory : c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo
Total : 311 files,  3294 codes, 234 comments, 449 blanks, all 3977 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        298 |      2,734 |        198 |        430 |      3,362 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\jwt-personal.ts                                                    | TypeScript         |        -26 |         -7 |         -8 |        -41 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\jwt.ts                                                             | TypeScript         |        -21 |         -4 |        -12 |        -37 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\validator.ts                                                       | TypeScript         |         -5 |         -1 |         -4 |        -10 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\city.model.ts                                | TypeScript         |        -24 |          0 |         -2 |        -26 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\customer.model.ts                            | TypeScript         |        -41 |          0 |         -2 |        -43 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\neighborhood.model.ts                        | TypeScript         |        -29 |         -1 |         -3 |        -33 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\category.model.ts                             | TypeScript         |        -20 |          0 |         -6 |        -26 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\product.model.ts                              | TypeScript         |        -47 |          0 |         -5 |        -52 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\unit.model.ts                                 | TypeScript         |        -21 |          0 |         -3 |        -24 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\user.model.ts                                          | TypeScript         |        -34 |         -3 |         -7 |        -44 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\mongo-database.ts                                             | TypeScript         |        -20 |          0 |         -9 |        -29 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\auth.datasource.ts                                      | TypeScript         |         -7 |         -2 |         -4 |        -13 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\city.datasource.ts                            | TypeScript         |        -13 |          0 |         -1 |        -14 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\customer.datasource.ts                        | TypeScript         |        -13 |          0 |         -1 |        -14 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\neighborhood.datasource.ts                    | TypeScript         |        -14 |          0 |         -1 |        -15 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\products\category.datasource.ts                         | TypeScript         |        -13 |          0 |         -6 |        -19 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\products\product.datasource.ts                          | TypeScript         |        -15 |         -1 |         -8 |        -24 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\products\unit.datasource.ts                             | TypeScript         |        -13 |          0 |         -4 |        -17 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\auth\login-user.dto.ts                                         | TypeScript         |        -14 |         -1 |        -10 |        -25 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\auth\register-user.dto.ts                                      | TypeScript         |        -17 |        -12 |        -13 |        -42 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\create-city.dto.ts                                   | TypeScript         |        -24 |         -4 |         -5 |        -33 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\create-customer.dto.ts                               | TypeScript         |        -42 |         -6 |         -9 |        -57 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\create-neighborhood.dto.ts                           | TypeScript         |        -30 |         -5 |         -7 |        -42 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\update-city.dto.ts                                   | TypeScript         |        -37 |         -3 |         -6 |        -46 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\update-customer.dto.ts                               | TypeScript         |        -65 |         -3 |        -10 |        -78 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\update-neighborhood.dto.ts                           | TypeScript         |        -45 |         -3 |         -7 |        -55 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-category.ts                                    | TypeScript         |        -14 |         -5 |        -10 |        -29 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-product.dto.ts                                 | TypeScript         |        -24 |         -5 |        -13 |        -42 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-unit.dto.ts                                    | TypeScript         |        -14 |         -5 |         -8 |        -27 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\udpate-unit.dto.ts                                    | TypeScript         |        -34 |         -7 |        -10 |        -51 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\update-category.dto.ts                                | TypeScript         |        -28 |         -4 |         -9 |        -41 |
| c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\update-product.dto.ts                                 | TypeScript         |        -33 |         -3 |        -10 |        -46 |
