"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "JavaScript", "YAML", "Docker", "comment", "blank", "total"
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\auth\login-user.dto.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 1, 10, 25
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\auth\register-user.dto.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 12, 13, 42
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\create-city.dto.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 4, 5, 33
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\create-customer.dto.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 6, 9, 57
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\create-neighborhood.dto.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 5, 7, 42
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\update-city.dto.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 3, 6, 46
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\update-customer.dto.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 3, 10, 78
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\customers\update-neighborhood.dto.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 3, 7, 55
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\payment\create-payment.dto.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 4, 9, 87
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\payment\process-webhook.dto.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 1, 3, 28
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\payment\update-payment-status.dto.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 1, 4, 32
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\payment\verify-payment.dto.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 1, 3, 22
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-category.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 5, 10, 29
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-product.dto.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 5, 13, 42
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\create-unit.dto.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 5, 8, 27
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\udpate-unit.dto.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 7, 10, 51
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\update-category.dto.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 4, 9, 41
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\products\update-product.dto.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 3, 10, 46
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\sales\create-sale.dto.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 4, 9, 66
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\sales\update-sale-status.dto.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\dtos\shared\pagination.dto.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 5, 8, 27
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\entities\customers\citiy.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\entities\customers\customer.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\entities\customers\neighborhood.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
