"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\app.ts", "TypeScript", 16, 3, 4, 23
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\bcrypt.ts", "TypeScript", 11, 3, 2, 16
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\envs.ts", "TypeScript", 15, 3, 13, 31
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\jwt-personal.ts", "TypeScript", 26, 7, 8, 41
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\jwt.ts", "TypeScript", 21, 4, 12, 37
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\configs\validator.ts", "TypeScript", 5, 1, 4, 10
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\chatbot\chat-models.ts", "TypeScript", 74, 7, 5, 86
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\city.model.ts", "TypeScript", 24, 0, 2, 26
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\customer.model.ts", "TypeScript", 41, 0, 2, 43
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\neighborhood.model.ts", "TypeScript", 29, 1, 3, 33
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\payment\payment.model.ts", "TypeScript", 65, 6, 3, 74
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\category.model.ts", "TypeScript", 20, 0, 6, 26
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\product.model.ts", "TypeScript", 47, 0, 5, 52
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\unit.model.ts", "TypeScript", 21, 0, 3, 24
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\sales\sale.model.ts", "TypeScript", 82, 0, 3, 85
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\user.model.ts", "TypeScript", 33, 3, 7, 43
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\data\mongodb\mongo-database.ts", "TypeScript", 21, 0, 9, 30
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\auth.datasource.ts", "TypeScript", 7, 2, 4, 13
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\chatbot\chat.datasource.ts", "TypeScript", 11, 1, 1, 13
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\city.datasource.ts", "TypeScript", 13, 0, 1, 14
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\customer.datasource.ts", "TypeScript", 13, 0, 1, 14
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\neighborhood.datasource.ts", "TypeScript", 14, 0, 1, 15
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\payment\payment.datasource.ts", "TypeScript", 21, 12, 12, 45
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\products\category.datasource.ts", "TypeScript", 13, 0, 6, 19
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\products\product.datasource.ts", "TypeScript", 15, 1, 8, 24
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\products\unit.datasource.ts", "TypeScript", 13, 0, 4, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\datasources\sales\sale.datasource.ts", "TypeScript", 12, 0, 1, 13
