"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "JavaScript", "YAML", "Docker", "CSS", "XML", "comment", "blank", "total"
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\products\category.mapper.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -4, -7, -28
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\products\product.mapper.ts", "TypeScript", 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, -4, -6, -37
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\products\unit.mapper.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -1, -7, -25
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\sales\sale.mapper.ts", "TypeScript", 0, 0, -173, 0, 0, 0, 0, 0, 0, 0, -15, -16, -204
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\user.mapper.ts", "TypeScript", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, -3, -7, -29
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\auth.repository.impl.ts", "TypeScript", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, -7, -23
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\customers\city.repository.impl.ts", "TypeScript", 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -1, -9, -40
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\customers\customer.repository.impl.ts", "TypeScript", 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -1, -9, -40
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\customers\neighborhood.repository.impl.ts", "TypeScript", 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, -1, -10, -44
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\payment\payment.repository.impl.ts", "TypeScript", 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, -1, -14, -63
