"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\app.ts", "TypeScript", 16, 3, 4, 23
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\bcrypt.ts", "TypeScript", 11, 3, 2, 16
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\cloudinary.ts", "TypeScript", 8, 1, 2, 11
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\envs.ts", "TypeScript", 19, 4, 15, 38
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\jwt-personal.ts", "TypeScript", 26, 7, 8, 41
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\jwt.ts", "TypeScript", 31, 5, 7, 43
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\logger.ts", "TypeScript", 117, 21, 22, 160
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\validator.ts", "TypeScript", 5, 1, 4, 10
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\cart\cart.model.ts", "TypeScript", 59, 6, 5, 70
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\chatbot\chat-models.ts", "TypeScript", 74, 7, 5, 86
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\coupon\coupon.model.ts", "TypeScript", 81, 5, 5, 91
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\customers\city.model.ts", "TypeScript", 24, 0, 2, 26
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\customers\customer.model.ts", "TypeScript", 41, 0, 2, 43
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\customers\neighborhood.model.ts", "TypeScript", 29, 1, 3, 33
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\order\order.model.ts", "TypeScript", 66, 3, 3, 72
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\payment\payment.model.ts", "TypeScript", 65, 6, 3, 74
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\products\category.model.ts", "TypeScript", 20, 0, 6, 26
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\products\product.model.ts", "TypeScript", 60, 2, 7, 69
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\products\unit.model.ts", "TypeScript", 21, 0, 3, 24
